"Excel row","Organisation","Department","Duplicate of row","Department UUID","Organisation UUID","Outcome","Changed fields","Blank fields preserved","address_line_1","address_line2","address_line_3","address_town_city","address_county","address_post_code","phone_number"
"242","St Richard's Hospital Chichester","Radiology based Nuclear Medicine","","168bd772-c4f9-40ef-a4fc-f0c3eea0ab34","56b21482-c150-4f2f-9d3e-767012209714","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Spitalfield Lane","","","Chichester","West Sussex","PO19 6SE",""
"243","St Thomas' Hospital","Nuclear Medicine Stand Alone","","f29e5907-2e86-4798-8a91-2170f83ffae2","f607f226-9fd1-43b7-8340-0d2d8a1f20e9","Updated and verified","address_line_1; address_town_city; address_post_code; phone_number","address_line2; address_line_3; address_county","Westminster Bridge Road","","","London","","SE1 7EH","020 7188 4084"
"244","Stepping Hill Hospital","Radiology based Nuclear Medicine","","4df71cb4-e01d-4603-8be1-b196a4a9926b","008fefce-6b2b-46b1-b42f-b4af60236fe4","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Poplar Grove","","","Stockport","Cheshire","SK2 7JE",""
"245","Stobhill Hospital Glasgow","Nuclear Medicine - Physics based","","79726fd8-8e0d-4d03-88bb-d4bee47cc91f","ac5589e4-8c34-4151-8175-adca5b18c916","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","133 Balornock Road","","","Glasgow","","G21 3UW",""
"246","Sunderland Royal Hospital","Radiology based Nuclear Medicine","","63cae3ed-cfd1-4957-a486-1a8ca0f6bc9a","a60488ac-8fec-4751-9aaa-5a8e67488b5b","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Kayll Road","","","Sunderland","Tyne and Wear","SR4 7TP",""
"247","Sunderland Royal Hospital","Radiopharmacy","","ffa33dad-94db-4c34-922a-b24facee62b2","a60488ac-8fec-4751-9aaa-5a8e67488b5b","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Kayll Road","","","Sunderland","Tyne and Wear","SR4 7TP",""
"248","Tameside General Hospital","Nuclear Medicine Stand Alone","","721d5d20-01f5-402a-b46a-f2f553427a31","dec09e0f-3823-4944-beaf-de77231228c2","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Fountain Street","","","Ashton-under-Lyne","Lancashire","OL6 9RW",""
"249","The Alexandra Hospital","Nuclear Medicine Stand Alone","","9a2bc833-afb0-41f8-a260-ac0fa703bdbf","69a1a5ff-0ff8-4921-8e11-7604430f7b80","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Mill Lane","","","Cheadle","Cheshire","SK8 2PX",""
"250","The Cancer Centre Wimbledon","Radiology based Nuclear Medicine","","3dcfecb8-37b3-4a3a-86e0-5aef3734e30a","227af740-d474-4d1f-b3c0-d2f4671beb04","Updated and verified","address_line_1; address_line2; address_town_city; address_post_code","address_line_3; address_county; phone_number","49 Parkside","Wimbledon","","London","","SW19 5NB",""
"251","The Christie Hospital","Nuclear Medicine Stand Alone","","94633fb2-19ee-42f8-be94-98a69f556ad1","75df674e-5202-43e3-bf9f-d380a3caafab","Updated and verified","address_line_1; address_line2; address_town_city; address_county; address_post_code","address_line_3; phone_number","550 Wilmslow Road","Withington","","Manchester","Greater Manchester","M20 4BX",""
