submission_id,created_date,applicant_name,applicant_email,extracted_org_name,missing_reason,matched_existing_org_id,matched_existing_org_name
f6acf3a5-015a-40b9-b05a-d14e27079945,2026-03-22T19:53:27.98+00:00,,,BOKONZI,organization_id is NULL,,
418f97e1-fec2-4db7-b19a-59d2e3a0b05e,2026-03-23T13:43:24.648+00:00,,,Tangerine Central,organization_id is NULL,,
4d7610da-cb25-47b5-8eb4-11f70b36f94b,2026-03-23T22:11:41.781+00:00,,,DIMONGO — Associação para o Desenvolvimento Socioeconómico de Cabo Delgado,organization_id is NULL,,
82454143-0ed0-4fab-aca6-d1efe3640662,2026-03-24T10:51:13.951+00:00,,,Teach the World Foundation,organization_id is NULL,,
90c9aee6-3e22-455b-8918-8a51a3966b9d,2026-03-24T10:57:20.63+00:00,,,Youth Action for Sustainable Development Sierra Leone,organization_id is NULL,,
2a3d1d26-4d38-4a46-915e-de64e056225a,2026-03-24T14:52:41.526+00:00,,,The Aga Khan Academy,organization_id is NULL,,
2e6e81be-0a98-45b4-bb0f-badea9d894aa,2026-03-25T10:44:41.639+00:00,,,Camara Education,organization_id is NULL,,
e1fb7097-53a7-4c69-a723-4bd5a9cc6ce5,2026-03-25T13:06:53.602+00:00,,,EVEREST SCHOOL,organization_id is NULL,,
ee7f9694-9453-4f0b-b838-cd93571a2c98,2026-03-26T09:38:33.021+00:00,,,Tanzania Youth Espouse for Gender and Development (TYEGD),organization_id is NULL,,
1a5cdc11-8e7f-4c94-b600-b6975631c78d,2026-03-26T17:12:44.197+00:00,,,St. Anthony School Ltd,organization_id is NULL,,
8f029aab-64f0-4cbf-a6cd-f80653f6da8f,2026-03-26T20:06:26.107+00:00,,,Camry House Limited,organization_id is NULL,,
ef6ea948-e3c8-4ad1-8b02-45ff41767f10,2026-03-30T07:00:07.032+00:00,,,Children of Africa network,organization_id is NULL,,
056fefdc-c2d7-4890-8c16-09510678f871,2026-03-31T11:58:57.948+00:00,,,Happy Kiddies College,organization_id is NULL,,
19debe60-574c-4d43-b730-ec6b4275f7eb,2026-03-31T14:48:48.321+00:00,,,Acacia Sports Consultancy,organization_id is NULL,,
82c1f088-ded1-42da-bc78-099669f0967a,2026-04-01T05:10:47.089+00:00,,,Tanzania Youth and Children care Organization,organization_id is NULL,,
400b4292-0af8-4ae0-a786-55541c04a095,2026-04-01T05:55:50.618+00:00,,,UWEZO TANZANIA,organization_id is NULL,,
c9a52ae5-ca9a-464c-a2a0-95c27b0d017e,2026-04-02T17:36:59.881+00:00,,,Bens gender Preparatory and junior school,organization_id is NULL,,
8cce7fed-7d6e-4509-bda9-70494be5bc68,2026-04-05T09:37:53.995+00:00,,,Concerned Heart Foundation Ghana,organization_id is NULL,,
e5f61c2a-8dcc-42d3-a824-eda6df2daca2,2026-04-07T12:23:22.653+00:00,,,ChildFund International,organization_id is NULL,,
e159f0f7-d040-4de2-9dbd-f165b7ddbb08,2026-04-08T11:20:06.692+00:00,,,"PhET Interactive Simulations, University of Colorado Boulder",organization_id is NULL,,
24053928-fd20-4eac-88c2-4c20e3e9fb7c,2026-04-09T08:59:04.475+00:00,,,"Halal Global Nursery and Primary School, P.O BOX 341616,Arua, Uganda",organization_id is NULL,,
379fd450-9f2b-425f-be04-11d4d09e4a59,2026-04-09T09:27:01.272+00:00,,,TEST iConnect2.0,organization_id is NULL,,
333beb5d-0bb9-4f68-a452-0f2a53ed3794,2026-04-09T11:47:06.668+00:00,,,HopeBridge Innovation for Resilience & Empowerment (HIRE),organization_id is NULL,,
076236f7-2f7b-41d3-8a72-efe19747582f,2026-04-10T16:26:30.61+00:00,,,Tom Educacao,organization_id is NULL,,
a511e9cf-0572-4fd0-9beb-68d91bb08efd,2026-04-12T20:55:58.259+00:00,,,Faria Education Group,organization_id is NULL,,
ef65e814-ce23-48c8-ba2a-9a495f973fc7,2026-04-13T05:37:27.51+00:00,,,Somastars Enterprise,organization_id is NULL,,
c6827119-6ced-4175-8b1d-990e24652fad,2026-04-13T12:28:24.723+00:00,,,Partnership for Change,organization_id is NULL,,
638697f4-63ea-4a97-8d60-7518d946cfee,2026-04-13T15:13:37.68+00:00,,,Department of education and knowledge,organization_id is NULL,,
fdd616dc-1420-4244-9b40-ffacd4fd6a83,2026-04-14T05:11:03.256+00:00,,,ConveGenius Insights Private Limited,organization_id is NULL,,
c24b806d-7910-4612-86a9-5de3aa2e9527,2026-04-14T06:34:43.3+00:00,,,ConveGenius Edu Services Private Limited,organization_id is NULL,,
4b04f60e-3c65-4f17-8e1d-a06b559bde67,2026-04-16T00:46:55.723+00:00,,,LEARN Afghan,organization_id is NULL,,
74c1d713-e4b7-4f57-89b5-3b769805560a,2026-04-16T00:46:56.428+00:00,,,LEARN Afghan,organization_id is NULL,,
4bd923a3-f42d-46b9-ab05-8e4cedf3aef5,2026-04-17T08:38:45.72+00:00,,,yamanju,organization_id is NULL,,
4336e53e-762b-44de-a488-c40f3a4c1462,2026-04-20T17:56:46.053+00:00,,,Raiz do Futuro,organization_id is NULL,,
777384d0-ab40-40da-985e-fcc25c136ac4,2026-04-21T01:25:32.521+00:00,,,The Centre for Learning & Children’s Rights,organization_id is NULL,,
7fa11502-c8b0-4d37-9b51-d7d465e12079,2026-04-21T21:30:04.707+00:00,,,Rwamagana Leaders' School,organization_id is NULL,,
